idCol,valence_emo_std,valence_emo_mean,valence_straight_mean,valence_in_home_base,valence_dist_home_base,valence_peak_dist,valence_disp_length,valence_rise_rate,valence_recovery_rate,valence_low_rise_rate,valence_low_recovery_rate,valence_high_rise_rate,valence_high_recovery_rate,valence_disp_count,valence_low_disp_count,valence_high_disp_count,novel,speaker,speakerType,author,NumTurns,number_emo_words,speaker_num_steps,Identifier
Dr. Watson-SignOfFour,,0.6522,0.6522,1.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,SignOfFour,Dr. Watson,major,Arthur Conan Doyle,3,5,1,bookSpeakers
Elizabeth-Persuasion,0.10298921250535467,0.6400451612903227,0.6416571428571427,0.6129032258064516,0.016959223315947028,0.022810836219172827,2.5,0.054235520447916935,0.07093713335114267,0.07923068173823955,0.12853068173823956,0.02924035915759432,0.04214035915759423,5.0,2.0,4.0,Persuasion,Elizabeth,minor,Jane Austen,7,35,31,bookSpeakers
Elizabeth-PrideAndPrejudice,0.18346877029402753,0.5708555555555554,0.6056363636363636,0.5,0.026863165147054932,0.04908538736927712,4.555555555555555,0.05230020218409193,0.05062242440631415,0.10795595992373946,,0.03374828293754276,0.05062242440631415,4.0,3.0,2.0,PrideAndPrejudice,Elizabeth,major,Jane Austen,7,22,18,bookSpeakers
Emma-Emma,0.07881230440252447,0.7229743589743587,0.7286511627906976,0.6153846153846154,0.010845978061128577,0.017922901138051655,3.4,0.038336447442708366,0.024684053209506635,0.10857903013842152,0.031351612055368606,0.00321515609485179,0.008015156094851705,5.0,3.0,3.0,Emma,Emma,major,Jane Austen,6,43,39,bookSpeakers
Mr. Darcy-PrideAndPrejudice,0.06770846820499395,0.64265,0.672,0.5,0.0013813732415721702,0.0021063732415722014,2.0,0.004212746483144403,,,,0.004212746483144403,,2.0,2.0,1.0,PrideAndPrejudice,Mr. Darcy,major,Jane Austen,4,8,4,bookSpeakers
Mr. Sherlock Holmes-SignOfFour,0.11015007943710255,0.6809000000000002,0.6735000000000003,0.6875,0.015901461218329232,0.028713961218329222,4.2,0.05032311726576899,0.049828225299551186,0.07474233794932678,0.049828225299551186,0.0014846758986534203,,5.0,2.0,4.0,SignOfFour,Mr. Sherlock Holmes,major,Arthur Conan Doyle,7,36,32,bookSpeakers
